UF;Nome_UF;Região Geográfica Intermediária;Nome Região Geográfica Intermediária;Região Geográfica Imediata;Nome Região Geográfica Imediata;Mesorregião Geográfica;Nome_Mesorregião;Microrregião Geográfica;Nome_Microrregião;Município;Código Município Completo;Nome_Município;Código  Município - 6 dígitos;Column1;_1;_2;_3;_4
11;Rondônia;1102;Ji-Paraná;110005;Cacoal;2;Leste Rondoniense;6;Cacoal;15;1100015;Alta Floresta D'Oeste;110001;;;;;
11;Rondônia;1101;Porto Velho;110002;Ariquemes;2;Leste Rondoniense;3;Ariquemes;23;1100023;Ariquemes;110002;;;;;
11;Rondônia;1102;Ji-Paraná;110006;Vilhena;2;Leste Rondoniense;8;Colorado do Oeste;31;1100031;Cabixi;110003;;;;;
11;Rondônia;1102;Ji-Paraná;110005;Cacoal;2;Leste Rondoniense;6;Cacoal;49;1100049;Cacoal;110004;;;;;
11;Rondônia;1102;Ji-Paraná;110006;Vilhena;2;Leste Rondoniense;8;Colorado do Oeste;56;1100056;Cerejeiras;110005;;;;;
11;Rondônia;1102;Ji-Paraná;110006;Vilhena;2;Leste Rondoniense;8;Colorado do Oeste;64;1100064;Colorado do Oeste;110006;;;;;
11;Rondônia;1102;Ji-Paraná;110006;Vilhena;2;Leste Rondoniense;8;Colorado do Oeste;72;1100072;Corumbiara;110007;;;;;
11;Rondônia;1102;Ji-Paraná;110004;Ji-Paraná;1;Madeira-Guaporé;2;Guajará-Mirim;80;1100080;Costa Marques;110008;;;;;
11;Rondônia;1102;Ji-Paraná;110005;Cacoal;2;Leste Rondoniense;6;Cacoal;98;1100098;Espigão D'Oeste;110009;;;;;
11;Rondônia;1101;Porto Velho;110001;Porto Velho;1;Madeira-Guaporé;2;Guajará-Mirim;106;1100106;Guajará-Mirim;110010;;;;;
11;Rondônia;1101;Porto Velho;110003;Jaru;2;Leste Rondoniense;4;Ji-Paraná;114;1100114;Jaru;110011;;;;;
11;Rondônia;1102;Ji-Paraná;110004;Ji-Paraná;2;Leste Rondoniense;4;Ji-Paraná;122;1100122;Ji-Paraná;110012;;;;;
11;Rondônia;1101;Porto Velho;110003;Jaru;2;Leste Rondoniense;3;Ariquemes;130;1100130;Machadinho D'Oeste;110013;;;;;
11;Rondônia;1102;Ji-Paraná;110005;Cacoal;2;Leste Rondoniense;5;Alvorada D'Oeste;148;1100148;Nova Brasilândia D'Oeste;110014;;;;;
11;Rondônia;1102;Ji-Paraná;110004;Ji-Paraná;2;Leste Rondoniense;4;Ji-Paraná;155;1100155;Ouro Preto do Oeste;110015;;;;;
11;Rondônia;1102;Ji-Paraná;110005;Cacoal;2;Leste Rondoniense;7;Vilhena;189;1100189;Pimenta Bueno;110018;;;;;
11;Rondônia;1101;Porto Velho;110001;Porto Velho;1;Madeira-Guaporé;1;Porto Velho;205;1100205;Porto Velho;110020;;;;;
11;Rondônia;1102;Ji-Paraná;110004;Ji-Paraná;2;Leste Rondoniense;4;Ji-Paraná;254;1100254;Presidente Médici;110025;;;;;
